,時点,死亡数,集計年,説明変数,予測値,実測値からの差
244,1998年5月,74266,1998,1998.4166666666667,81502.6455339794,-7236.645533979405
245,1998年6月,69666,1998,1998.5,81632.55210931785,-11966.552109317854
246,1998年7月,72041,1998,1998.5833333333333,81762.45868465677,-9721.458684656769
247,1998年8月,71793,1998,1998.6666666666667,81892.36525999568,-10099.365259995684
248,1998年9月,69262,1998,1998.75,82022.2718353346,-12760.271835334599
249,1998年10月,74921,1998,1998.8333333333333,82152.17841067351,-7231.178410673514
250,1998年11月,79673,1998,1998.9166666666667,82282.08498601243,-2609.084986012429
251,1998年12月,85565,1998,1999.0,82411.99156135134,3153.008438648656
252,1999年1月,115975,1999,1999.0833333333333,82541.89813669026,33433.10186330974
253,1999年2月,93049,1999,1999.1666666666667,82671.80471202917,10377.195287970826
254,1999年3月,87896,1999,1999.25,82801.71128736809,5094.288712631911
255,1999年4月,79394,1999,1999.3333333333333,82931.61786270654,-3537.6178627065383
256,1999年5月,78116,1999,1999.4166666666667,83061.52443804592,-4945.524438045919
257,1999年6月,70518,1999,1999.5,83191.43101338483,-12673.431013384834
258,1999年7月,72044,1999,1999.5833333333333,83321.33758872328,-11277.337588723283
259,1999年8月,72916,1999,1999.6666666666667,83451.24416406266,-10535.244164062664
260,1999年9月,69434,1999,1999.75,83581.15073940111,-14147.150739401113
261,1999年10月,76179,1999,1999.8333333333333,83711.05731474003,-7532.057314740028
262,1999年11月,78206,1999,1999.9166666666667,83840.96389007941,-5634.963890079409
263,1999年12月,88304,1999,2000.0,83970.87046541786,4333.129534582142
264,2000年1月,98264,2000,2000.0833333333333,84100.77704075677,14163.222959243227
265,2000年2月,92537,2000,2000.1666666666667,84230.68361609569,8306.316383904312
266,2000年3月,88682,2000,2000.25,84360.5901914346,4321.409808565397
267,2000年4月,79799,2000,2000.3333333333333,84490.49676677352,-4691.496766773518
268,2000年5月,76985,2000,2000.4166666666667,84620.40334211243,-7635.403342112433
269,2000年6月,69247,2000,2000.5,84750.30991745135,-15503.309917451348
270,2000年7月,72554,2000,2000.5833333333333,84880.21649279026,-12326.216492790263
271,2000年8月,72004,2000,2000.6666666666667,85010.12306812918,-13006.123068129178
272,2000年9月,69524,2000,2000.75,85140.0296434681,-15616.029643468093
273,2000年10月,75892,2000,2000.8333333333333,85269.93621880654,-9377.936218806542
274,2000年11月,79313,2000,2000.9166666666667,85399.84279414592,-6086.842794145923
275,2000年12月,86852,2000,2001.0,85529.74936948484,1322.250630515162
276,2001年1月,93575,2001,2001.0833333333333,85659.65594482329,7915.344055176713
277,2001年2月,80999,2001,2001.1666666666667,85789.56252016267,-4790.562520162668
278,2001年3月,88804,2001,2001.25,85919.46909550112,2884.5309044988826
279,2001年4月,82137,2001,2001.3333333333333,86049.37567084003,-3912.3756708400324
280,2001年5月,79085,2001,2001.4166666666667,86179.28224617941,-7094.282246179413
281,2001年6月,72163,2001,2001.5,86309.18882151786,-14146.188821517862
282,2001年7月,75403,2001,2001.5833333333333,86439.09539685678,-11036.095396856777
283,2001年8月,73598,2001,2001.6666666666667,86569.00197219569,-12971.001972195692
284,2001年9月,72692,2001,2001.75,86698.90854753461,-14006.908547534607
285,2001年10月,78782,2001,2001.8333333333333,86828.81512287352,-8046.815122873522
286,2001年11月,83546,2001,2001.9166666666667,86958.72169821244,-3412.7216982124373
287,2001年12月,89547,2001,2002.0,87088.62827355135,2458.3717264486477
288,2002年1月,93827,2002,2002.0833333333333,87218.53484889027,6608.465151109733
289,2002年2月,83225,2002,2002.1666666666667,87348.44142422918,-4123.441424229182
290,2002年3月,88232,2002,2002.25,87478.3479995681,753.6520004319027
291,2002年4月,79637,2002,2002.3333333333333,87608.25457490655,-7971.254574906547
292,2002年5月,79132,2002,2002.4166666666667,87738.16115024593,-8606.161150245927
293,2002年6月,73275,2002,2002.5,87868.06772558484,-14593.067725584842
294,2002年7月,76520,2002,2002.5833333333333,87997.97430092329,-11477.974300923292
295,2002年8月,75725,2002,2002.6666666666667,88127.88087626267,-12402.880876262672
296,2002年9月,73617,2002,2002.75,88257.78745160112,-14640.787451601122
297,2002年10月,80087,2002,2002.8333333333333,88387.69402694004,-8300.694026940037
298,2002年11月,87069,2002,2002.9166666666667,88517.60060227942,-1448.6006022794172
299,2002年12月,92033,2002,2003.0,88647.50717761787,3385.4928223821335
300,2003年1月,108157,2003,2003.0833333333333,88777.41375295678,19379.58624704322
301,2003年2月,88456,2003,2003.1666666666667,88907.3203282957,-451.3203282956965
302,2003年3月,91686,2003,2003.25,89037.22690363461,2648.7730963653885
303,2003年4月,83671,2003,2003.3333333333333,89167.13347897353,-5496.1334789735265
304,2003年5月,82229,2003,2003.4166666666667,89297.04005431244,-7068.0400543124415
305,2003年6月,74833,2003,2003.5,89426.94662965136,-14593.946629651356
306,2003年7月,76508,2003,2003.5833333333333,89556.85320499027,-13048.853204990271
307,2003年8月,77476,2003,2003.6666666666667,89686.75978032919,-12210.759780329186
308,2003年9月,74733,2003,2003.75,89816.6663556681,-15083.666355668101
309,2003年10月,82664,2003,2003.8333333333333,89946.57293100655,-7282.572931006551
310,2003年11月,82878,2003,2003.9166666666667,90076.47950634593,-7198.479506345931
311,2003年12月,91660,2003,2004.0,90206.38608168485,1453.6139183151536
312,2004年1月,99908,2004,2004.0833333333333,90336.2926570233,9571.707342976704
313,2004年2月,92415,2004,2004.1666666666667,90466.19923236268,1948.8007676373236
314,2004年3月,91961,2004,2004.25,90596.10580770113,1364.8941922988743
315,2004年4月,83574,2004,2004.3333333333333,90726.01238304004,-7152.012383040041
